algorithm,run,seed,best_distance_m,time_seconds
GA,12,53.0,286396.1954464555,3.573584794998169
GA,13,54.0,288107.9488676342,3.4739720821380615
GA,14,55.0,298888.41994750215,3.4589529037475586
GA,15,56.0,293271.44910863927,3.364246129989624
GA,16,57.0,294286.64346059866,3.300915002822876
GA,17,58.0,296422.60456869693,3.2002651691436768
GA,18,59.0,284035.0798833662,3.4128620624542236
GA,19,60.0,284198.4792381694,3.7483458518981934
GA,20,61.0,290934.77915138664,3.926661252975464
GA,21,62.0,294648.68022878584,3.84476375579834
GA,22,63.0,293588.7871189823,4.110787868499756
GA,23,64.0,287288.0030769236,4.021056890487671
GA,24,65.0,290433.9543314448,3.714948892593384
GA,25,66.0,284035.0798833662,3.302917003631592
GA,26,67.0,292233.79090102215,3.305569887161255
GA,27,68.0,287874.8119579161,3.42439603805542
GA,28,69.0,290568.38875517575,3.51836895942688
GA,29,70.0,299267.55879182176,3.584871292114258
GA,30,71.0,291369.5319866491,3.6753950119018555
SA,1,42.0,283761.4763315319,16.614256143569946
SA,2,43.0,283936.29646365496,12.435369968414307
SA,3,44.0,283761.4763315319,11.366528034210205
SA,4,45.0,283761.4763315319,11.72810173034668
SA,5,46.0,283772.8971088519,12.166169881820679
SA,6,47.0,283761.4763315319,13.58567500114441
SA,7,48.0,283761.4763315319,16.467242002487183
SA,8,49.0,283761.4763315319,14.21991491317749
SA,9,50.0,283761.4763315319,12.956019163131714
SA,10,51.0,283761.4763315319,14.939559936523438
SA,11,52.0,283936.29646365484,20.818544149398804
SA,12,53.0,284136.18607784784,22.131614923477173
SA,13,54.0,283761.4763315319,20.078423976898193
SA,14,55.0,283936.29646365484,20.88975715637207
SA,15,56.0,283936.29646365484,22.125231981277466
SA,16,57.0,283761.4763315319,17.904206037521362
SA,17,58.0,283936.29646365484,18.830379009246826
SA,18,59.0,283936.29646365484,16.92710280418396
SA,19,60.0,283761.4763315319,20.22101402282715
SA,20,61.0,283761.476331532,24.44463324546814
SA,21,62.0,283936.29646365484,18.445777893066406
SA,22,63.0,283761.4763315319,18.156076908111572
SA,23,64.0,283936.29646365484,16.456368923187256
SA,24,65.0,283761.4763315319,15.10280179977417
SA,25,66.0,283936.2964636551,16.74542999267578
SA,26,67.0,283761.4763315319,15.525954008102417
SA,27,68.0,283761.4763315319,16.317949056625366
SA,28,69.0,283936.2964636551,16.894461154937744
SA,29,70.0,283947.71724097483,15.569910049438477
SA,30,71.0,283936.2964636549,16.608513116836548
NN,1,,297100.430840814,0.004086971282958984
