algorithm,run,tour,distance_m
ACS,5,13 -> 11 -> 3 -> 4 -> 5 -> 6 -> 2 -> 9 -> 8 -> 0 -> 1 -> 7 -> 14 -> 10 -> 12 -> 24 -> 21 -> 20 -> 23 -> 22 -> 16 -> 17 -> 15 -> 18 -> 19,283936.29646365496
ACS,6,19 -> 13 -> 11 -> 3 -> 4 -> 5 -> 6 -> 2 -> 9 -> 8 -> 0 -> 1 -> 7 -> 14 -> 10 -> 12 -> 24 -> 21 -> 20 -> 23 -> 22 -> 16 -> 17 -> 15 -> 18,283936.29646365496
ACS,7,19 -> 13 -> 11 -> 3 -> 4 -> 5 -> 6 -> 2 -> 9 -> 8 -> 0 -> 1 -> 7 -> 14 -> 10 -> 12 -> 24 -> 21 -> 20 -> 23 -> 22 -> 16 -> 17 -> 15 -> 18,283936.29646365496
ACS,8,19 -> 3 -> 4 -> 5 -> 6 -> 2 -> 9 -> 8 -> 0 -> 1 -> 7 -> 14 -> 12 -> 10 -> 11 -> 13 -> 18 -> 15 -> 17 -> 16 -> 24 -> 21 -> 22 -> 23 -> 20,287729.42087393225
ACS,9,7 -> 1 -> 0 -> 8 -> 6 -> 2 -> 9 -> 14 -> 5 -> 4 -> 3 -> 11 -> 10 -> 12 -> 13 -> 19 -> 18 -> 15 -> 17 -> 16 -> 24 -> 21 -> 22 -> 23 -> 20,288047.96017533774
ACS,10,13 -> 11 -> 3 -> 4 -> 5 -> 6 -> 2 -> 9 -> 8 -> 0 -> 1 -> 7 -> 14 -> 10 -> 12 -> 24 -> 21 -> 20 -> 23 -> 22 -> 16 -> 17 -> 15 -> 18 -> 19,283936.29646365496
ACS,11,19 -> 13 -> 3 -> 4 -> 5 -> 6 -> 2 -> 9 -> 8 -> 0 -> 1 -> 7 -> 14 -> 11 -> 10 -> 12 -> 24 -> 21 -> 20 -> 23 -> 22 -> 16 -> 17 -> 15 -> 18,284198.47923816927
ACS,12,18 -> 13 -> 11 -> 10 -> 12 -> 7 -> 1 -> 0 -> 8 -> 6 -> 2 -> 9 -> 14 -> 5 -> 4 -> 3 -> 19 -> 20 -> 23 -> 22 -> 21 -> 24 -> 16 -> 17 -> 15,287375.67652382096
ACS,13,13 -> 11 -> 3 -> 4 -> 5 -> 6 -> 2 -> 9 -> 8 -> 0 -> 1 -> 7 -> 14 -> 10 -> 12 -> 24 -> 21 -> 20 -> 23 -> 22 -> 16 -> 17 -> 15 -> 18 -> 19,283936.29646365496
ACS,14,3 -> 4 -> 5 -> 6 -> 2 -> 9 -> 8 -> 0 -> 1 -> 7 -> 14 -> 10 -> 12 -> 11 -> 13 -> 18 -> 15 -> 17 -> 16 -> 24 -> 21 -> 22 -> 23 -> 20 -> 19,288475.0201752614
ACS,15,13 -> 3 -> 4 -> 5 -> 6 -> 2 -> 9 -> 8 -> 0 -> 1 -> 7 -> 14 -> 10 -> 11 -> 12 -> 24 -> 21 -> 20 -> 23 -> 22 -> 16 -> 17 -> 15 -> 18 -> 19,285025.04765830754
ACS,16,19 -> 13 -> 11 -> 3 -> 4 -> 5 -> 6 -> 2 -> 9 -> 8 -> 0 -> 1 -> 7 -> 14 -> 10 -> 12 -> 24 -> 21 -> 20 -> 23 -> 22 -> 16 -> 17 -> 15 -> 18,283936.29646365496
ACS,17,19 -> 3 -> 4 -> 5 -> 6 -> 2 -> 9 -> 8 -> 0 -> 1 -> 7 -> 14 -> 10 -> 12 -> 11 -> 13 -> 18 -> 15 -> 17 -> 16 -> 24 -> 21 -> 22 -> 23 -> 20,288475.0201752614
ACS,18,3 -> 4 -> 5 -> 6 -> 2 -> 9 -> 8 -> 0 -> 1 -> 7 -> 14 -> 12 -> 10 -> 11 -> 13 -> 18 -> 15 -> 17 -> 16 -> 24 -> 21 -> 22 -> 23 -> 20 -> 19,287729.42087393225
ACS,19,19 -> 13 -> 11 -> 3 -> 4 -> 5 -> 6 -> 2 -> 9 -> 8 -> 0 -> 1 -> 7 -> 14 -> 10 -> 12 -> 24 -> 21 -> 20 -> 23 -> 22 -> 16 -> 17 -> 15 -> 18,283936.29646365496
ACS,20,13 -> 11 -> 3 -> 4 -> 5 -> 6 -> 2 -> 9 -> 8 -> 0 -> 1 -> 7 -> 14 -> 10 -> 12 -> 24 -> 21 -> 20 -> 23 -> 22 -> 17 -> 16 -> 15 -> 18 -> 19,284581.3712692738
ACS,21,13 -> 11 -> 3 -> 4 -> 5 -> 6 -> 2 -> 9 -> 8 -> 0 -> 1 -> 7 -> 14 -> 10 -> 12 -> 24 -> 21 -> 20 -> 23 -> 22 -> 16 -> 17 -> 15 -> 18 -> 19,283936.29646365496
ACS,22,13 -> 11 -> 3 -> 4 -> 5 -> 6 -> 2 -> 9 -> 8 -> 0 -> 1 -> 7 -> 14 -> 10 -> 12 -> 24 -> 21 -> 20 -> 23 -> 22 -> 17 -> 16 -> 15 -> 18 -> 19,284581.3712692738
ACS,23,13 -> 11 -> 3 -> 4 -> 5 -> 6 -> 2 -> 9 -> 8 -> 0 -> 1 -> 7 -> 14 -> 10 -> 12 -> 24 -> 21 -> 20 -> 23 -> 22 -> 16 -> 17 -> 15 -> 18 -> 19,283936.29646365496
ACS,24,3 -> 4 -> 5 -> 6 -> 2 -> 9 -> 8 -> 0 -> 1 -> 7 -> 14 -> 12 -> 10 -> 11 -> 13 -> 18 -> 15 -> 17 -> 16 -> 24 -> 21 -> 22 -> 23 -> 20 -> 19,287729.42087393225
ACS,25,13 -> 11 -> 3 -> 4 -> 5 -> 6 -> 2 -> 9 -> 8 -> 0 -> 1 -> 7 -> 14 -> 10 -> 12 -> 24 -> 21 -> 20 -> 23 -> 22 -> 16 -> 17 -> 15 -> 18 -> 19,283936.29646365496
ACS,26,18 -> 15 -> 17 -> 16 -> 24 -> 21 -> 22 -> 23 -> 20 -> 12 -> 10 -> 11 -> 3 -> 4 -> 5 -> 6 -> 2 -> 9 -> 8 -> 0 -> 1 -> 7 -> 14 -> 13 -> 19,285328.1813176001
ACS,27,15 -> 17 -> 16 -> 24 -> 21 -> 22 -> 23 -> 20 -> 5 -> 4 -> 6 -> 2 -> 9 -> 8 -> 0 -> 1 -> 7 -> 14 -> 12 -> 10 -> 11 -> 3 -> 13 -> 19 -> 18,286935.6524821885
ACS,28,3 -> 4 -> 5 -> 6 -> 2 -> 9 -> 8 -> 0 -> 1 -> 7 -> 14 -> 12 -> 10 -> 11 -> 13 -> 18 -> 15 -> 17 -> 16 -> 24 -> 21 -> 22 -> 23 -> 20 -> 19,287729.42087393225
ACS,29,13 -> 11 -> 3 -> 4 -> 5 -> 6 -> 2 -> 9 -> 8 -> 0 -> 1 -> 7 -> 14 -> 10 -> 12 -> 24 -> 21 -> 20 -> 23 -> 22 -> 16 -> 17 -> 15 -> 18 -> 19,283936.29646365496
ACS,30,13 -> 3 -> 4 -> 5 -> 6 -> 2 -> 9 -> 8 -> 0 -> 1 -> 7 -> 14 -> 11 -> 10 -> 12 -> 24 -> 21 -> 20 -> 23 -> 22 -> 16 -> 17 -> 15 -> 18 -> 19,284198.47923816927
GA,1,10 -> 5 -> 4 -> 3 -> 19 -> 18 -> 15 -> 17 -> 16 -> 13 -> 6 -> 2 -> 8 -> 0 -> 1 -> 7 -> 9 -> 14 -> 11 -> 24 -> 21 -> 22 -> 23 -> 20 -> 12,303452.48474073753
GA,2,20 -> 1 -> 7 -> 14 -> 11 -> 15 -> 18 -> 19 -> 13 -> 3 -> 4 -> 5 -> 6 -> 0 -> 8 -> 2 -> 9 -> 10 -> 12 -> 21 -> 24 -> 16 -> 17 -> 22 -> 23,314077.93028121855
GA,3,13 -> 11 -> 4 -> 5 -> 2 -> 9 -> 6 -> 8 -> 0 -> 1 -> 7 -> 14 -> 10 -> 12 -> 24 -> 15 -> 17 -> 16 -> 22 -> 23 -> 20 -> 21 -> 3 -> 19 -> 18,303560.222158033
GA,4,24 -> 21 -> 20 -> 23 -> 22 -> 17 -> 16 -> 11 -> 14 -> 2 -> 6 -> 7 -> 1 -> 0 -> 8 -> 5 -> 4 -> 9 -> 12 -> 10 -> 3 -> 13 -> 19 -> 18 -> 15,302392.0550101707
GA,5,5 -> 14 -> 9 -> 2 -> 6 -> 0 -> 8 -> 7 -> 1 -> 20 -> 23 -> 22 -> 21 -> 24 -> 12 -> 10 -> 11 -> 13 -> 19 -> 18 -> 15 -> 17 -> 16 -> 3 -> 4,293215.42739157745
GA,6,21 -> 22 -> 23 -> 20 -> 12 -> 14 -> 10 -> 11 -> 16 -> 17 -> 15 -> 13 -> 3 -> 4 -> 5 -> 7 -> 1 -> 0 -> 8 -> 2 -> 9 -> 6 -> 19 -> 18 -> 24,310435.43644524703
GA,7,22 -> 21 -> 7 -> 1 -> 19 -> 18 -> 15 -> 17 -> 16 -> 24 -> 12 -> 9 -> 2 -> 6 -> 0 -> 8 -> 5 -> 4 -> 3 -> 13 -> 11 -> 10 -> 14 -> 20 -> 23,305074.3695468123
GA,8,7 -> 1 -> 0 -> 12 -> 10 -> 14 -> 9 -> 2 -> 8 -> 6 -> 5 -> 4 -> 19 -> 18 -> 15 -> 17 -> 16 -> 24 -> 22 -> 23 -> 20 -> 21 -> 11 -> 13 -> 3,300161.0133456181
GA,9,0 -> 2 -> 6 -> 3 -> 13 -> 18 -> 19 -> 4 -> 5 -> 9 -> 14 -> 10 -> 12 -> 22 -> 23 -> 20 -> 21 -> 24 -> 16 -> 17 -> 15 -> 11 -> 7 -> 1 -> 8,300534.600147505
GA,10,22 -> 23 -> 20 -> 12 -> 10 -> 14 -> 9 -> 8 -> 0 -> 1 -> 7 -> 6 -> 2 -> 5 -> 4 -> 3 -> 13 -> 19 -> 18 -> 15 -> 17 -> 16 -> 11 -> 24 -> 21,293478.5423979889
GA,11,22 -> 23 -> 20 -> 21 -> 24 -> 16 -> 17 -> 3 -> 4 -> 5 -> 14 -> 9 -> 2 -> 6 -> 8 -> 0 -> 1 -> 7 -> 12 -> 10 -> 11 -> 13 -> 19 -> 18 -> 15,302951.31528162287
GA,12,13 -> 3 -> 12 -> 20 -> 23 -> 22 -> 21 -> 24 -> 16 -> 17 -> 15 -> 18 -> 19 -> 11 -> 10 -> 14 -> 9 -> 2 -> 8 -> 0 -> 1 -> 7 -> 6 -> 5 -> 4,293341.01404623373
GA,13,22 -> 16 -> 17 -> 15 -> 24 -> 5 -> 4 -> 3 -> 19 -> 18 -> 13 -> 11 -> 10 -> 14 -> 9 -> 2 -> 6 -> 8 -> 0 -> 1 -> 7 -> 12 -> 21 -> 20 -> 23,303086.22454648913
GA,14,19 -> 21 -> 20 -> 23 -> 22 -> 24 -> 17 -> 16 -> 15 -> 18 -> 3 -> 4 -> 5 -> 8 -> 0 -> 1 -> 7 -> 6 -> 2 -> 9 -> 14 -> 12 -> 10 -> 11 -> 13,306782.29806744755
GA,15,19 -> 13 -> 3 -> 14 -> 9 -> 6 -> 2 -> 10 -> 12 -> 24 -> 21 -> 22 -> 23 -> 20 -> 1 -> 7 -> 0 -> 8 -> 4 -> 5 -> 11 -> 15 -> 17 -> 16 -> 18,299216.7006307988
GA,16,20 -> 21 -> 23 -> 22 -> 24 -> 12 -> 10 -> 14 -> 9 -> 2 -> 8 -> 0 -> 6 -> 5 -> 4 -> 3 -> 13 -> 11 -> 16 -> 17 -> 15 -> 18 -> 19 -> 1 -> 7,308176.2498489046
